Dimension,dae Time,dae Standard Deviation,knn Accuracy,knn Standard Deviation
1,737.7704193,88.16863475,0.75196,0.004453134
2,575.556088,87.17539107,0.86706,0.009101341
3,584.4357663,43.29247171,0.9292,0.005431022
4,533.9822277,91.42091048,0.94566,0.001620617
5,597.6476501,80.30536711,0.95574,0.002672527
6,581.3527685,62.19046274,0.96042,0.00102645
7,688.804794,102.7489917,0.96226,0.001779438
8,568.574697,104.6800735,0.96416,0.00093723
9,383.9796471,34.8205326,0.96726,0.001278437
10,459.1958378,54.99742343,0.96906,0.001613196
