Dimension,dae1l Time,dae1l Standard Deviation,qda Accuracy,qda Standard Deviation
1,11.751678228378296,0.31612133979797363,0.43479999999999996,0.004799999999999999
2,25.738882184028625,2.9606600999832153,0.6207499999999999,0.0034500000000000086
3,20.239866971969604,0.42435669898986816,0.6916,0.0015000000000000013
4,17.262325644493103,0.17141520977020264,0.7251,0.0030000000000000027
5,16.611417651176453,0.01597273349761963,0.7491,0.0019000000000000128
6,17.41865086555481,0.33975958824157715,0.7585500000000001,0.00035000000000001696
7,18.662363409996033,0.6060198545455933,0.76705,0.0015499999999999958
8,18.09258735179901,0.8890095949172974,0.7735000000000001,0.0015999999999999903
9,18.200162649154663,1.2452595233917236,0.7836000000000001,0.004799999999999971
10,20.084044575691223,1.5127009153366089,0.7920499999999999,0.0012500000000000289
