Dimension,dae Time,dae Standard Deviation,qda Accuracy,qda Standard Deviation
1,14.565223574638367,0.10758984088897705,0.50505,0.030549999999999994
2,11.978435754776001,0.04319643974304199,0.66165,0.00605
3,14.09261703491211,0.08912801742553711,0.7009,0.0008000000000000229
4,14.355188131332397,0.5568616390228271,0.7398,0.0011999999999999789
5,16.278276920318604,1.2348496913909912,0.7521,0.007000000000000006
6,14.807764172554016,1.7447446584701538,0.7571,0.0039000000000000146
7,14.260920405387878,0.267001748085022,0.7733,0.0041999999999999815
8,14.489264845848083,2.031058192253113,0.7771,0.005299999999999971
9,13.717165112495422,1.187465786933899,0.7841,0.00029999999999996696
10,14.651659727096558,0.9383916854858398,0.79245,0.0017500000000000293
