Dimension,dae Time,dae Standard Deviation,qda Accuracy,qda Standard Deviation
1,4.978762149810791,0.08960223197937012,0.2577,0.011499999999999996
2,4.804194688796997,1.2657833099365234,0.42135,0.04125000000000001
3,3.6296911239624023,0.10837388038635254,0.5055000000000001,0.0731
4,3.768348217010498,0.2189786434173584,0.5640499999999999,0.028149999999999953
5,3.532471537590027,0.19984543323516846,0.63715,0.03325
6,4.298521280288696,0.3641378879547119,0.6676,0.01279999999999998
7,4.915899395942688,0.6977819204330444,0.66715,0.00495000000000001
8,3.991655468940735,0.4956780672073364,0.6992,0.015199999999999991
9,3.8100725412368774,0.30377471446990967,0.70565,0.002650000000000041
10,4.040157914161682,0.47125160694122314,0.71165,0.00824999999999998
