Dimension,pca Time,pca Standard Deviation,knn Accuracy,knn Standard Deviation
1,0.229979873,0.010196567,0.3024,0.0004
2,0.238109112,0.004469872,0.5464,0.0009
3,0.263627648,0.005739093,0.6379,0
4,0.269277811,0.00930357,0.6869,0.0003
5,0.243788719,0.005438328,0.7128,1.00E-04
6,0.205961466,0.001913071,0.7402,0.0008
7,0.230946183,0.025824428,0.7422,0
8,0.218706846,0.00281477,0.75125,0.00145
9,0.236232758,0.014368057,0.766,0.0012
10,0.244921327,0.007412314,0.7696,0.0017
11,0.250404954,0.00884378,0.7803,0
12,0.287254214,0.022902846,0.7827,0.0003
13,0.263819695,0.00999403,0.78385,0.00115
14,0.270874977,0.009346485,0.7881,0.001
15,0.311144352,0.00990057,0.7867,0.0005
16,0.291809678,0.019743562,0.7919,0.0018
17,0.292365074,0.000418901,0.7924,0
18,0.302326918,0.000797749,0.79955,0.00015
19,0.31245935,0.026325583,0.79905,0.00085
20,0.313383222,0.001735091,0.80155,0.00065
