Dimension,dae Time,dae Standard Deviation,knn Accuracy,knn Standard Deviation
1,511.6136922,123.4412279,0.6748,0.005147038
2,483.8271686,145.8914374,0.75192,0.006683532
3,541.7239458,43.97806871,0.7957,0.002398333
4,522.0043011,37.56117926,0.8192,0.002106181
5,474.5830378,71.88139313,0.83274,0.003356546
6,444.1314273,72.39905459,0.83796,0.002839437
7,410.1086711,51.30417235,0.84556,0.002241071
8,506.4568124,38.04200215,0.85026,0.002840141
9,539.394931,71.30241122,0.85618,0.000661513
10,477.3848588,23.32888753,0.86068,0.002412799
