Dimension,pca Time,pca Standard Deviation,knn Accuracy,knn Standard Deviation
1,2.13757143,0.046338598,0.31198,0.000541849
2,2.205681086,0.036021387,0.56282,0.000897552
3,2.306937313,0.0448637,0.65092,0.00056
4,2.380398655,0.028538481,0.7201,0.000789937
5,2.188051748,0.027109179,0.74602,0.001262379
6,1.980680323,0.039733066,0.76498,0.000448999
7,2.114368963,0.037366423,0.77896,0.002011567
8,2.218234253,0.029883843,0.78958,0.001060943
9,2.255514812,0.037604864,0.80408,0.000552811
10,2.278427029,0.017113,0.8133,0.001663731
