Dimension,dae Time,dae Standard Deviation,qda Accuracy,qda Standard Deviation
1,6.696872591972351,1.4853438138961792,0.4837,0.024699999999999972
2,7.5126811265945435,0.5458282232284546,0.60475,0.006449999999999956
3,11.444239616394043,0.6078131198883057,0.6891,0.004599999999999993
4,10.323649048805237,0.20955383777618408,0.71225,0.0009499999999999509
5,10.085555911064148,0.6709221601486206,0.7301500000000001,0.0025499999999999967
6,11.650906443595886,1.002597689628601,0.7467,0.0010999999999999899
7,12.80454134941101,0.8889346122741699,0.7443,0.007199999999999984
8,12.788829922676086,1.7963770627975464,0.76,0.0019000000000000128
9,11.911654472351074,0.2832224369049072,0.7653,0.0010000000000000009
10,13.228615164756775,1.9493952989578247,0.76985,0.00495000000000001
