Dimension,dae Time,dae Standard Deviation,qda Accuracy,qda Standard Deviation
1,7.8651769161224365,1.211426019668579,0.42345,0.00874999999999998
2,7.857278227806091,1.3883157968521118,0.6567000000000001,0.008599999999999997
3,9.52483594417572,0.2964826822280884,0.7054,0.0009000000000000119
4,10.246848464012146,0.1293853521347046,0.7406999999999999,0.004400000000000015
5,10.070215225219727,0.6135804653167725,0.7513,0.007199999999999984
6,11.089029431343079,0.12359249591827393,0.7684,0.0019000000000000128
7,13.022588014602661,0.6999022960662842,0.7757499999999999,0.005350000000000021
8,12.908358931541443,0.34439027309417725,0.7751,0.005099999999999993
9,12.404959440231323,1.4937381744384766,0.7835,0.0011999999999999789
10,13.367234826087952,0.18622028827667236,0.7858,0.003100000000000047
