Dimension,dae Time,dae Standard Deviation,qda Accuracy,qda Standard Deviation
1,26.37537968158722,7.551990866661072,0.49149999999999994,0.02099999999999999
2,23.68220090866089,4.9910523891448975,0.6576,0.009199999999999986
3,29.390310287475586,6.615328311920166,0.70045,0.01865
4,32.671172976493835,4.870685696601868,0.7342500000000001,0.011250000000000038
5,39.355334758758545,1.6446118354797363,0.7529999999999999,0.0015000000000000013
6,22.11262571811676,3.6640206575393677,0.759,0.0020000000000000018
7,35.36177480220795,5.820742249488831,0.775,0.0019000000000000128
8,34.48753535747528,7.566008687019348,0.7810999999999999,0.003500000000000003
9,32.69325876235962,1.5549886226654053,0.78325,0.006249999999999978
10,36.244312167167664,6.114251732826233,0.7868999999999999,0.0018999999999999573
