Dimension,pca Time,pca Standard Deviation,qda Accuracy,qda Standard Deviation
1,0.1909315586090088,0.008174419403076172,0.305,0.0
2,0.19161713123321533,0.0021451711654663086,0.5183,0.0
3,0.2008528709411621,0.00636601448059082,0.6266,0.0
4,0.2074286937713623,0.0008156299591064453,0.6823,0.0
5,0.20381712913513184,0.026726484298706055,0.7073,0.0
6,0.14996874332427979,0.001809239387512207,0.7129,0.0
7,0.1728452444076538,0.014555096626281738,0.7287,0.0
8,0.19939005374908447,0.014344334602355957,0.7411,0.0
9,0.18969202041625977,0.010496139526367188,0.7592,0.0
10,0.2020965814590454,0.004182219505310059,0.75685,4.999999999999449e-05
11,0.22133612632751465,0.012117385864257812,0.76625,4.999999999999449e-05
12,0.222916841506958,0.0039522647857666016,0.7689,0.0
13,0.24259328842163086,0.011386632919311523,0.7722,0.0
14,0.20719099044799805,0.008130073547363281,0.77235,4.999999999999449e-05
15,0.280002236366272,0.023692727088928223,0.7746500000000001,5.0000000000050004e-05
16,0.24539029598236084,0.00547182559967041,0.77505,4.999999999999449e-05
17,0.24388718605041504,0.005157947540283203,0.7791,0.00019999999999997797
18,0.27874135971069336,0.0007224082946777344,0.7823,0.0
19,0.25969386100769043,0.00713038444519043,0.7812,0.00019999999999997797
20,0.28116369247436523,0.0009186267852783203,0.78335,0.00014999999999998348
21,0.25948452949523926,0.0074384212493896484,0.7818499999999999,0.0005499999999999949
22,0.2302926778793335,0.00019562244415283203,0.78765,4.999999999999449e-05
23,0.2623870372772217,0.008724689483642578,0.7902,0.00019999999999997797
24,0.2656353712081909,0.010306000709533691,0.7918000000000001,0.0001000000000000445
25,0.26053810119628906,0.020586013793945312,0.79065,0.00014999999999998348
26,0.2578272819519043,0.0007321834564208984,0.79055,0.00014999999999998348
27,0.29980480670928955,0.003115057945251465,0.79175,0.00045000000000000595
28,0.298503041267395,0.000619053840637207,0.7917,9.999999999998899e-05
29,0.2917358875274658,0.011898279190063477,0.7930999999999999,0.00030000000000002247
30,0.3038574457168579,0.0034853219985961914,0.7916,9.999999999998899e-05
31,0.2940918207168579,0.013236165046691895,0.79225,4.999999999999449e-05
32,0.34163498878479004,0.00513458251953125,0.79125,0.00014999999999998348
33,0.3304929733276367,0.015731334686279297,0.7914,9.999999999998899e-05
34,0.3319704532623291,0.00874185562133789,0.79465,0.0008500000000000174
35,0.3538389205932617,0.02710890769958496,0.79435,0.00014999999999998348
36,0.37626564502716064,0.00798952579498291,0.79725,0.00014999999999998348
37,0.3432883024215698,0.020884156227111816,0.79755,0.00024999999999997247
38,0.33411717414855957,0.00220489501953125,0.7988,0.00040000000000001146
39,0.323022723197937,0.026424765586853027,0.8001499999999999,0.00045000000000000595
40,0.3321497440338135,0.02454400062561035,0.8005,0.00039999999999995595
41,0.34294211864471436,0.00995028018951416,0.80175,0.000250000000000028
42,0.37615108489990234,0.002326488494873047,0.8019499999999999,0.0009499999999999509
43,0.376312255859375,0.04393362998962402,0.8006,0.0006999999999999784
44,0.3777729272842407,0.011771321296691895,0.8021,0.00020000000000003348
45,0.3690359592437744,0.012543201446533203,0.8027500000000001,0.000749999999999973
46,0.375429630279541,0.009608268737792969,0.8027,9.999999999998899e-05
47,0.40391838550567627,0.05679976940155029,0.8041,9.999999999998899e-05
48,0.41855382919311523,0.001058340072631836,0.8032,0.0
49,0.4318631887435913,0.035990118980407715,0.80265,0.00014999999999998348
50,0.4091072082519531,0.01855301856994629,0.8026500000000001,0.00035000000000001696
51,0.4242957830429077,0.02542698383331299,0.80205,0.0009500000000000064
52,0.492092490196228,0.016753077507019043,0.80215,4.999999999999449e-05
53,0.42071712017059326,0.0026406049728393555,0.80115,0.00035000000000001696
54,0.40950047969818115,0.02122628688812256,0.8019000000000001,0.0001000000000000445
55,0.4320281744003296,0.03141629695892334,0.8014,0.0008000000000000229
56,0.41396141052246094,0.016978979110717773,0.8030999999999999,0.00020000000000003348
57,0.43829476833343506,0.001174330711364746,0.80365,0.0010499999999999954
58,0.45620620250701904,0.01387488842010498,0.80475,4.999999999999449e-05
59,0.49075376987457275,0.017468810081481934,0.80495,0.000250000000000028
60,0.45703864097595215,0.057904720306396484,0.80495,0.000250000000000028
61,0.5054755210876465,0.025944232940673828,0.8042,9.999999999998899e-05
62,0.5119274854660034,0.02644503116607666,0.8027500000000001,0.00035000000000001696
63,0.5077154636383057,0.018158912658691406,0.8028500000000001,0.000250000000000028
64,0.5009012222290039,0.0071713924407958984,0.80165,0.00045000000000000595
65,0.5114989280700684,0.0028510093688964844,0.8019000000000001,0.00030000000000002247
66,0.5359245538711548,0.005910754203796387,0.8032,0.0008000000000000229
67,0.5575228929519653,0.036336302757263184,0.8017000000000001,0.00040000000000001146
68,0.5627208948135376,0.01813948154449463,0.8010999999999999,0.00030000000000002247
69,0.5110145807266235,0.007290482521057129,0.80135,0.00024999999999997247
70,0.5281392335891724,0.04313933849334717,0.80185,0.000250000000000028
71,0.5119638442993164,0.0032601356506347656,0.80105,0.0008499999999999619
