Dimension,dae3 Time,dae3 Standard Deviation,knn Accuracy,knn Standard Deviation
1,21.02950585,1.252447963,0.49535,0.00325
2,34.83661735,3.060178638,0.6405,0.0022
3,24.63096273,1.761346221,0.71075,0.00175
4,29.33309519,2.408770442,0.74055,0.00355
5,27.38737249,2.718569517,0.7672,0.0005
6,32.34529674,1.59979403,0.7788,0.0014
7,24.2592622,0.7501899,0.77625,0.00125
8,26.95734787,0.355561733,0.7934,0.0015
9,23.41472805,1.365524888,0.79845,0.00575
10,23.18269181,0.153198481,0.80275,0.00265
